text,dialect
@mohameddolah عشان بس الناس تعرف قد ايه المصريين ولاد البلد ألأصليين بعيد عن ألأتجاهات وألأفكار اللي هلت علينا غيرت قيمنا وتقاليدنا وعاداتنا .. قد ايه المصريين دول جُمال وفيهم الخير بجد .. تحياتي ع المشاعر الجميلة دي لكل م شارك حتي بكلمة حلوة .. فعلا مصر ام الدنيا كلها خير ..,EG
@altawfiq @zsa1122 @Salmankhh الوافدين عندهم بطاقة بترول من جهة عملهم والشعب متضرر,OM
كلشي خارج حدود القوانين واللياقه والاتكيت ممتع حتى وان كان شيئ عادي جدا مثل شخبطه على الجدران ..ياريت اعرف ارسم اكثر https://t.co/T0rmP5ahJm,BH
"🎶 سنه مــرت كنــي على باب"" الـفراق"" سنين

وسنه راحت وانـا أدور بـعد روحـته جــيه🔑",JO
"@UAE1VIPAHMED @TamimBinHamad محشوم محشوم محشوم 
اطلع منها انت 
هذا حق صاحبك المزروعي الي يغلط علينا وانتوا ساكتين.
ما عندنا شيوخ وأمراء نغول في كل الخليج
استح واركد",KW
@A0500A50 @Yalmisehal انتبه تراه حساس وزعول https://t.co/kQ8u9SofoM,SA
@Shwikhattt مش في التلفزيون طلعت خوي فاتحها في الابتوب ومعلي الصوت,LY
@aalsubaie___ @Ahmedhalyami90 خيولي هالدلوع مره زين عشره زفت ، يذلف باللي مايحفظه ومعاه الشيبه شنايدر,QA
ياكثر اللي داقين ( هرن ) هالأيام ومرشحين نفسهم !!,KW
فانز نسيم خلينا نستحملو هجمعتين فانز نسيم يقعد سمعته نظيفة وفانز مثالي  ولوشفتو تصرفات سيئة من بعض نعدوها أهم حاجة مصلحة نسيم #StaracArabia,TN
@majedkhalaf1 وقبلها كانوا يتسجلون كارقام مو معلومات؟,KW
@1dgVpD1uoA8JEFc دافعه له مهر  ماله كلمه خلاص يمشي علي كيفها  بعرف ليش خايف ههههه,KW
"بعد 20 يوم دراسة ...
امتحان #الفارماكولوجي .. 
#علم_الادوية .. 
الساعة 9 الصبح .. 
دعواتكم ي رفاق الفيس بوك .. ^_^ http://t.co/dU8fWjyVBt",LY
@Eng_Chelsea_FC @khaled_hadyan @alkhames @saeedal13865280 اخوي مايصح هالكلام ترى الكل عارف شنو اللي صاير واحنا دوله لها سياده شنو يلعبون علينا الأعداء للاسف انه الاخ طعن اخوه وسمع كلام العدوان,QA
مَ ﺎجممل ﺎن تكتفيً عينكِك. .، ﮨآنسان يسۆى ا̄ﻟجميع ♥,QA
"@OifQImIxtdJ1fI1 
جه علي دماغها انها مع الابراشي",EG
@RM4Arab متى بيلعب ظهير ريال سويسداد  مكان مارسيلو,AE
@hilmisaleem1 لأ هو لازم يزور الكل,PL
"@X_USIN حنا دولة يتيمة ما عندناش رئيس 😭😭😭😭
لاعبينا اغلبهم ايتام
محرز باباه 
بو نجاح و مبولحي يماهم 
😫😫😫😫😫😫
يا ربي كون معانا",DZ
اووووو عمك ساويرس نازل بتقلو ... https://t.co/ltXRRxTCNE,SD
@ibrahim_wer @bentajoura انت علي طول ف البال يا ورور هههههههه,LY
"@EajElie @mahersharafeddi و بيرجع بيتخبى ب""السياقات """,LB
@saham611 كله هذا عشان تصور اللي كتبته مع الجو على السناب وشوفوني يابنات 🙂🤕,SA
@khalid0marr @maha_samiA @matnoo5ksa الله ياخذكم وياخذ مملكتكم معاكم في حريقه يارب .. الا بيت الله والمدنيه يالي ماتشرقونها,QA
حتى حسي بس يبي ينطق عراااااق,OM
ربِ إغفر ليّ و لوالديّ ربِ أرحمهُما كما ربياني صغيرا,QA
@ialshamik وصلتنى وارسلتها330330 صارت تجينى على الرقم الثانى,YE
@ChuvzRhPzjqvCdO الحقد عامي قلوبكم انتوا والا حنا بخير وديرة العز في خير . القطرية ياسعدون تقدر تعيشك انت وعشرة من امثالك قال نجيب رجال سعودي واحد يودينا لايران 😂😂😂 اقول حرروا اليمن قبل يااخوان ايران زي ماقالها جبيركم😂😂😷😷,QA
"#اسال_بركات
الناس اللي ع التريند على جنب كدا عشان #محمد_بركات جاي سريع 8️⃣🚀 https://t.co/SVBifSqT2O",EG
@tarekaboujaoude @YaraLb_Lovers اذا حط اسمه على المقال معناها انك تستأهل يكتب عنك واكيد ما بيعملها ويكتب عن #طوني_ابو_جودة_برميل_خرا,LB
@ShurouqM انا شلت الدال لأني متواضع,KW
فعفوشتين وبولجيسة و ٢ كابوكشينوا و واحد هوشوكليم,LB
@am_ab9 @rbinhussain @Abdulmajeed6531 قطر سوت اللي ماسوته بلادج حدج تبنبعين في تويتر لا لج حق ولا كلمة مسموعة كل همكم شيل الوصايا وسواقة السيارة ..الحصار كان فرصة تطلعون حقدكم..,QA
"@yoyobaloch1993 @Inter_Tweets لاتشيل هم
راح نفوز ونحسمها من الشوط الاول
ان شاء الله",KW
"@HDOSARI @7assnov @AhlamAlShamsi هههههه اقنعني يعني اعتقال بسبة دين😎
تمام واللي راح الحج بعد عليه قرض 🙃
وبعض قبايل ال مره يمكن عليهم سلفيات من البقاله 🙂
اقول عن التفلسف  ولا تناقش بهالشي بالذات لان فيه وايد امثله فلا اتعب عمرك زود وعط عمرك العااااااافيه👌🏻😄",AE
@kuwarimud @8O7VymQHB87ET1t باجر بيرجع ينابح في تويتر على دول الخليج,AE
@i7mooha اي والله يا هو طلعنا رعب 😂😂😂,AE
ايامات الصيف وانت تبي تطلع من الحوش وانت قريب توصل للباب تطلع راهو تجيك عزوز القايله 😂😂طول اتولي لحوش وتبدا فيها😢😢😢😂 #طفوله_ليبيه,LY
@Hilanaak كان ماحملتش تخش في دبرشن وكان حملت تخش hyperemesis gravid arum وكان جابت تخش في دبرشن شن تبو بالزبط 😂😂😂,LY
هنا تويتر مجرد تبادل افكار لا اكثر ارخي روحك وبسط المواضيع معاك الحق في حاجات يقهرن لكن تخيل روحك في سريع و واحد لط عليك السياره حتدرك الموقف و بعدها تخطم عليه وتهدي سرعتك بعدها تفوتها حتى هنا هي سرعتك وفوته.,LY
@fatama0101013 مبروك يا حضرة المديره,EG
زنقة مركز الشرطة في النهاية https://t.co/U3QrFMUVwm,LY
@ManarSarhan اكثر شي منرفزني ان الفريق حتى لو كان فايز 3/0 اللاعيبه كانت بتيجي على نفسها وبتلعب بكل قوتها عشان سيادتو يسجل هاتريك وسوبر هاترك عشان يحقق ارقام كبيرة يحقق بيها جوائز فردية ليه وياريت بعد ده كلو نفع فيه الخاين الغشاش😂,LY
"حياكم بحسابي بالانستا والسناب.  moooni_766
#مساء_الخير",AE
@Khalifabuhamad @Haithmalhamadi ألحين انته زعلان ع الصوره ولا فرحان خسرت بس ٤..,OM
@baderotaby هالايام مبسوط العود ههههه,KW
"@HKhalifhe بهالعهد رجعنا نحكي مين مسلم ومين مسيحي
رجعنا نخاف نصرف معاشنا مش عارفين اذا منشتغل بكرا او لأ
 بطالة 40٪
4000 شركة افلست
اهم شي ثورة 17 تشرين✌🏻",LB
@MaguyBouGhosn @news_ger_chekel صارت فوبي عند ماغي هالإعلانات ههههه😂😂😂😂😂😅,TN
@SajaDahadha الله يرحم محمود وربنا يصبرك يا سجى... 💔,JO
عنشكلي عليش قلت هكي🤦🏻‍♀️,LY
مسكين اللي عليمين شكله ماله شغل بس واقف وياهم بالصوره https://t.co/IcV2InNv2C,KW
@toty27200 @NooorM7md99 هيهم رجعوا بعد الفاصل 😂😂,PL
@SabyLR ههههههههههههههههههههههههههه مش بعيده قصص الحب هاي ما حبيتها تراهم زغار يعني صداقه ماشي بس انو حب وعشق ومشق وبوستها كثير هيك ..,PL
"@3ajel_ksa كثير هالاشكال اللي عايشين على اسم السعودية 
عظمة ؟! كانها تركيا فقط اللي بناء مساجد",SA
@Sameht71 العمر كلو سيد سامح وعقبال 100🎂🌹,LB
مو على أساس الماضي كان مشرق أشو نص الشعب بالمقابر الجماعية والنص الثاني طحنهم الحصار وحروب متنتهي ، شوفوا غير هالحجة وأذا الحاضر  مو زين تحنون للماضي لو تحاولون تغيروا للأحسن يعني أذا أنتوا بحال سيء تحنون للأسوء https://t.co/hLqz4QEnId,IQ
يا ابو صرة .. اللي بيبعت زعرانه يضربوا بيار حشاش  وبيتشكى عجماعة السوشيال ميديا مثل عباس زهري وبيقطعله برزقه، وبيتشكى عهشام حداد واللي بكون خطابه طائفي ومفكر المارونية السياسية بعدها مثل قبل، ما بكون بلطجي ؟ #البلطجي_جبران,LB
@fatema2015999 @MohammedAssaf89 الله يسلمك ي حلوة انتي عراسي من فووق حب 442,PL
"@drmajdnaji @MohammedAssaf89 هو في شغلة ما بتنحب ؟؟
والله كلو كلو بنحبوو 😭💚",PL
ربعنا يعطون ٢٠ دقيقه ونسوا انه المباراه ٤٥ دقيقه ياريت لو اذكرونهم ...,AE
"-كيف تصبح #سعيداً في خطوتين؟ 
١. اتغطى 
٢. نام 🙄",JO
@d0JhB5VWrpYx7BE لاء واخدين معاهم الاسعاف 😂,EG
أحب السهره اللي تجي بدون تنسيق بدون وعود؟ سهره مليانه ضحك وكلام يجبر الواحد يبتسم..,YE
على فكره اتصل عليهم احد الاشخاص وقت متأخر من الليل بيسال عند دواء ابلغوه ما في احد مداوم علشان يفيدكم https://t.co/jVWOzzLH57,KW
هذا الموسم اذا يبون اعلان او شي يكتبو قصيدة ولا يمثلو هههه#زد_رصيدك62,DZ
"ثالث قالب كيك بوصلني بعيد ميلادي 😍💚
الله يحفضلي الناس يلي بتهتم فيا وبتحبني💚 https://t.co/cs2Hc0dZom",PL
@Fahadalhurifi يارجل انت مايعجبك احد,JO
ولا تزعلون يبنالكم #أتاري #الطيبين الراهين هههههههه http://t.co/XpB4L2pR,AE
@abdullahmmalbes @MissAlneami @Hamad_Al3ttiyah @JoaanBinHamad ايران كاسره خشومكم ياعبيد المهلكه هي اللي اجبرتكم وبالقوه وبشروطها يالخمه حسيي الله عليكم تحاربون اهل قطر وتمنعونهم من الحج والعمره ياصهاينة العرب جعل ربي يفكنا من شركم ياقتلة اطفال اليمن 🙏,QA
"شب الحطب وضبّط من الهيل فنجال
مخمخ مزاج اللـي معكّر مزاجه

قهوة بدوي تـقعـد الراس لا مال
تفرش حجاج اللـي معقّد حجاجه   مساء الخير 🌹🌹",JO
"وليد بيك شو بيعمل أوسكار 😱😱
لازم تزوج أوسكار 😜

@walidjoumblatt https://t.co/ZhSiq1Sa14",BH
في وجع مهما يعدي عليه سنين مستحيل تنساه ومستحيل يخف 💭...,PL
@ShorouqAlRoumi شكرا اخت شروق واتمنى اني التقي فيك قريب جدا :),KW
"@Hamzeh_Masa3deh @RAMIBANIATA 
اسمع كان يحضرها معي قد ما انضغط طلع يدخن و يرجع هههههه😂😂😂😂😂",JO
"@semsema4011 والله مااعرف غير انه اسمه حيوان الكسلان..
انا كل اللي يهمنى الناس اللي بتكرهنى يطلعلهم حتى فى احلامهم😱😱",EG
@sul535 حد يأخذ التلفون منه ويرجعه له الصبح !!! جاب العيد .,QA
@numidie10 حافظات شباب ماشاء الله..😂😂😂😂😂😂💔,LY
@MohamedHerbawI ههههههه مشان خواتهم خلصوا امتحانات 😂🚶,PL
@ALMRISEUL اسأل الله انه يشغلك في نفسك متى تكبر  وتترك حركات المبزره هذي,SA
يوم الاحد لقاء تطبيعي في الداخل حسب الشاب اللي بيطلع معهم,PL
هلأ لاحظت انه صورة بروفايل الفيسبوك الي مو مغيريتها من الـ ٢٠١٧ .. واااااااااااال https://t.co/8FwaTLyNqK,JO
@shahra_dz وليت نشوف بنات هنا يهدرو كلام اكثر من فاحش و فرحانين 😯,DZ
"@MshariAshareef @monqeth المشكلة بان المخالفة قيمتها اكبر من اللي اصلا مب دافع رسوم الوقوف!!

#مواقف",AE
"من داس على همومه انتصر، 
ومن داست عليه همومه انكسر ..❗ 
#قروب_جزائسطين https://t.co/gxeG0hhLPw",DZ
"الشبَـاب إلّلي بيحكُوا . .
"" تيّب | حَـادر | آثفْ | حُـوبك أنـاْ . . إلخ ""
* إسْترجل !!",PL
@usf_al_mutairi خلني يوسف قلبي متروس عادي ينفجر بأي لحظه,KW
@ffaisall80 اسمها له ايحات مرعبه,SA
"@lovkuwait4ever @JassemAlabdulh2 @AlshaerRasheed تذكرت المرحوم طلال العيار لما كان وزير الكهرباء والماء
لما عطوه كشوفات الأعمال الممتازة للإعتماد والتوقيع لموظفين الوزارة
خصم نسبة 65% من مبالغ الأعمال الممتازة للوافدين
واحتجوا بعض الموظفين الوافدين وقال لهم اللي عاجبه أهلاً وسهلاً واللي مو عاجبه كيفه",KW
هههههههه متذكر اليوم ده @mohamed_alfanob https://t.co/JPVJjIs7Rj,SD
مش هبقا على اى حد مش باقى عليا https://t.co/1pxSDlKkdx,EG
"@michealnabil010 @rehamn2013 @Nancy_micheal4 السلام ده مش صافى النيه 😂
بس ماعلينا",EG
"تضرب هديك الساعة اللي ناقشت في بعض الجماعات ..
بدك حدا يفهم...
فراس اللي دايئا أخلاقو...",SY
@alansariiradoa احس عيب اهل البنت يطلبون لان المفروض هم عارفين حالة الريال وهو بعد المفروض سواء عنده خير او مايقدر يعطي قد الي يقدر عليه والمتوقع منه,QA
"@SafeenWejdan هاي الي تكملتها "" على ايدي قبلك ياما قاسوا قاسوا ايه !  
 ولا وحدة تانية 😅",PL
@FuadyosefFy @AlexandraAlad ليك ناقشني باحترام لأني ما عم اغلط معك أنا مش مع حدا بس هيك حبيت ناقشك 👋,LB
لا بالعشره ولا بالسنين هيا شويه مواقف وبتعرف مين معاك ومين ضدك ♠,EG
@MBS_KSA90 الهزاوى بلاوى والدنيا دوارهـ😎,SA
"@hamad_albraidi الحين الذبان بيردون عليك هذا خبر كاذب، وطلع كويتي، وترفعون لكم والخ... وفوقها يدفعون لك، وشنو اصلك، وراعي وجهين..
الله يعينك عليهم",QA
"يا ثقلي ويامقوا عزومي وياصبري
أجامل على جرحي وأنا أشوف دكتوره 
تزود عذابي وكل شين على خبري 
لا شين تغير لا طبيعه ولا صوره
      سعد_بن_جدلان",QA
@5_soooom م عندك شغله انت!!!,OM
@Shlnd5_ss_ss هع جريت فينا ههههههههههههه,SA
"هذي عمرها ما صارت!!

اعضاء مؤسسة يحتفظون بالمميزات الى ما بعد التقاعد

اقولكم اشراخ يصير بالقريب العاجل
كل من هب و دب بحط واسطه علشان يصير عضو مجلس اداره بالكويتيه
اي متقاعد من عيالهم يطلع من الوزاره بعينونه في الكويتيه كم سنة علشان يتقاعد مره ثانيه و يحتفظ بالمميزات

كملوا لعب https://t.co/cJDx5kbz99",KW
@OmanFA @khamis7777 وعلى ما يقول المثل .. مسموحه الفاطر عن مركاض البوش .. يستريح خبروه,OM
@winnebooh 😂😂  المشكلة فيه الي ما تشوفش ف التغريدة,LY
مسموح تقول رأيك علي صوره حد في حاله واحده بس، لو جه وعلقها عندكم في الصالون .. لكن غير كده طول ماهو حاططها عنده علي صفحته فا يا تقول كلمه حلوه يا تقعد ساكت,EG
"لو حبّيت تعلِّم حد حاجه ماتعلموش بالكلام او بالوعظ .. علِّموا بالمواقِف، المواقِف عُمرها مابتتنسي، ومهما كانِت قاسية فى وقتها بس بسببها هايتعلِّم عُمره كُلّه.

#يوم_اللطف_العالمي",EG
الاهلي يلعبو من غير مدرب,LY
"@Khalid_alzar3 الريال مو نفس باقي الفرق
عادي يرد باي وقت",KW
قاهرنكم... انها السعودية 🇸🇦العظمى... https://t.co/ys9z76P6Rf,AE
@uae_3G يخسى يحطي رجله النجسه في أرض الإمارات بنحشها حش #تنظيم_الحمدين,AE
"نواف العابد لسه يحتاج تأهيل مستواه متراجع و جوستافو كويلار قدم نفسو بطريقه رائعه مستواه رهيب ينقصو التفاهم مع اللعيبه 
نحتاج كاريو فالشوط التاني #الهلال_الفيحاء_الدوري",PL
"#ساحره_بالرياض
بس احب اذكر مصور الفيديو  يشوف عقوبة جرائم المعلوماتية في حال طلعت الساحرة بريئة https://t.co/2BATzXm35i",SY
"سؤال عقدني شوي 
بنطلوني كحلي ولا رمادي ؟ 😂
ليش يقولولي كحلي انا اشوفه رمادي https://t.co/kfI8ybLkQa",KW
واللي علق سعد الفران ... https://t.co/dzH4b2LNOv,LB
@renadghayada1 ما شالله عليه الله يحميه 😍,PL
احدى الاسباب اللي بتخليك تعمل unfollow block delete لبعض الصفحات/الأشخاص ،،،لا حول الله يا رب😩 https://t.co/mOsljD71uf,JO
@AmeeraAlMusleh مننن قللب والله مليون ساعه فالانتظار ولا بزعلو ع حد لا طوارئ ولا هم يحزنون لوعة جبد وبس,PL
@I_fhxd والله ما قاعد بمخك عشان اعرف تطقطق ولا تتكلم صدق,IQ
@mabaloshi7 لعبهم خطير مو دلع معتمدين على لاعب واحد 😂😬,BH
@raya48101556 الجلفة يا عيبي ياكشفتي ههه,DZ
@imo76340760 بقينا وحشين اوى  وبعد عن ربنا سبب ده,EG
@52_wf ان شاء الله ما نوصل لهالوضع، واثقين فالمسؤولين، ونتمنى يبادروا بتوضيح خططهم ومشاريعهم والبدائل الي بيطرقوا الها لحل الازمة..,OM
@lulwabuhsyeen انتي بعد سووي روحج جنج اتكلمين احد 😂😂 .. وحده بوحده,BH
@shdaoaa فديتهم الحسساسين اللي يتكلمون ولاردينا عليهم زعلو فديتهم والله 😁😂,SA
@S7sB95 @AlBarghathy خذوها ريال كلها مفروض شكيت للفيفا مع قولة ميسي مايستحقش هذي لقطة عيب من حد يتفرج على كورة,LY
@RTarabic انا مش قادرة افهمه هو كدة ست ولا راجل؟؟,EG
@LilianeM8 رفيقة ليليان شو استنتجتي من الصورة؟؟؟,LB
هذي بلنسبة للمقالة القذرة والمريضة الي قريتها توا,LY
"@Kurbaag 

الابنادم شعنده غير النوم 😝",KW
غدروا فيك مرة تانية يا شيغسعد فيق بقى و قول كلمة حق مين يلي رجعك من السعودية و كان قلبو عليك و مين يلي ما بخلي فرصة الا ليغدر فيك,LB
بسألك ليش انت حسود كله تطالعنا على بيزاتنا ☻ — ما يطلع منكم شي .. هدية اسكريم شي http://t.co/xOVKKGrGbY,BH
"#بااخر_رساله_جاتك_عالتليفونك
I've just woke up 🤦🏻‍♂️",LY
هيثم الحريقي اللي مش عاجبه حاجة ومعترض على طول......بيدافع عن الأزهر ! ياترى ليه؟! 😬,EG
@mema_moon93 @kh_lolaa1 مالي دخل انا حكيت عمك الاردني انتي صرتي تحكي يدتي ويدي 😂😂😂,JO
@SafeenWejdan شعب مستخسر بحاله النفس الي بتنفسه شو متوقعة اكتر 🚶🚶,PL
شكلي راح احط صورة أبو نايف,JO
@7d8e901e5be744e @halmy_libya تصدقي انك نصابه اصلي يابطه,EG
@khalidjassem74 انا ما ادري شو خانة الذكور فقطر اذا اللي يحمون الامير اتراك وفرس وواللي يحكم قطر فعليا اسرائيلي واللي يحمون الدار مجنسين واللي يلعبون مجنسين شو خانة ذكورهم قال اسود تميم 🤣🤣,AE
@i7mooha اكيد ما عنده سالفه مثل كورته البايخه,AE
@minyarr   @MMowada فعلا صدقتي😂😂😂ولا رح يطلع منهم فايدة 👊🏻👊🏻👊🏻👊🏻,LY
"عندي لبس كتير بس ده طرحته في الغسيل، و ده شفاف محتاج حاجة تحته، و ده قلة مينفعش، وده ميتلبسش الصبح، و ده شافوني بيه كتير، و ده نضيف عالمكان، وده متخنني، و ده ملوش شنطة، و ده بيكتفني مش مريح، و ده كان تريند و قِدم، و ده بـ ايه ده كمان جبته ازاي ده!
فبوصل ف النهاية لأن معنديش لبس",EG
@lolo_306306 القرار متاخد من اسبوعين و طبيعى انه يحصل انهارده عشان اخر يوم فى الشهر,EG
46 نائب يوقعون مذكره للعوده للتوقيت الشتوي بسم ما حد رااااد ......... سؤال هي هالمذكرات وين بتروح دخيله انا,JO
@arabqoute مستحيل كان هي مش نفس مجالي او ماعنديش عليها اي خلفية مستحيل نشتغلها مهما كان الراتب,LY
"@MarzouqAlajmi تسلم ابوناصر..
نسال الله لك التوفيق.
و(التفنيش) لاياتي الا من ماميش؟!
🏃‍♂️تمشي عدل يحتار عدوك فيك.",KW
عفواً بس مش هاي الطريقة نفسها دولتك اللي خلتك رئيس وزراء و تتمقطع فينا زي اللي قبلك ..! https://t.co/RZiECcDlmj,JO
@97c8c87cbf19474 التربية والأصدقاء والضمير والثبات من الله ، كلها عوامل ، ربنا يبارك فيهم وفيكى ، ويجبر تقصيرنا والله,EG
أول مرة بيلعب مارسيال وراشفورد مع لوكاكو https://t.co/L3PZ3564zY,LB
و كالعاده الدنيا كلها مطر الا الوكره:)😂,PL
"@Mysobal You know whats the most beautiful thing that happened yesterday?  The fact that the inflitrators like you got a shoe in their mouths
خرى عليك وعاسرائيل وعكل العملاء الصرامي اللي متلك",LB
@KuSaraKu انخبطتي والا انخطبتي كل واحد المهم انك انضربتي والله يعينك على النتيجه🤯🤯🤯🤯,QA
"حدك  زمانك  اللحين  تكلمني 
تسهر للفجر وعشاني ميت قهر 
جاك  اليوم  بالاغاني  تسمعني
وتشوف اسمي وانا اكتب  شعر  
ماعندك انا ولاتقدر بيوم تملكني 
لوملكت الكون كله مابتملك سمر

#سمر__البحرينيه",BH
@heema_a7 الحنك تكون في السرير طول الوقت,SD
@fatma_benkhayal الكنايس اللي مطرطشه ف شوارع طرابلس و الاجانب الوافدين اللي عبو الساحة الخضرا و ما حولها ف طرابلس أيام العيد و اللي مسميات روحهن فيمنست دايرات زعزاعه  كل يوم فاتحات راس موضوع في احد محاور الجبهة التويترية,LY
"@KHamdi91 علاش هالبهدلة ومقسمين العيلة؟؟ والله قلة عقل 
توا كانها خدمة ولا قراية عادي وبيسايروا ظروفهم لكن علي خاطر جنسية بس ايديروا هذا كله؟",LY
"@Kafka270 ماشي يردهم عنه
كما بو يشرب البيبسي",OM
"@maryamalghafri_ انت بس شوفي البنات 
 انا يوم عمرهن حتى مرطب لوجهي م احط 😂😭",OM
عمرو شوقي يكتب: يوميات زملكاوي مفروس أوي! https://t.co/g9st2psRu0  ... @Ahmed1Afify  #باصي_لعفيفي,EG
"الرئيس ردًا على هاشتاج «ارحل يا سيسي»: «أحزنني كثيرًا»
وأمال ياريس لوشفت التعليقات على المانشيت ده هتقول ايه ؟؟؟
الناس مخنوقة وصوتنا اتخرس ، لا الكتاب قادرة تعبرعنهم ولا انت عايز تسمع منهم .",EG
"لا تـامـن العـقرب ولا تـامـن الداب...
الـسـمّ واحد لا.. رقـا في متونك...

يا جـاهـل الدنيا ودورات الأسباب...
أعرف ترى من خـان غيرك يخونـك...",BH
رابعه مش بونبونايه و تالته مش الوحش وطب مش القمة ولو تعبت ف ثانوى هتكمل تعب فى اى حته ومش لازم عشان زاكرت تنجح ولو قدمت السبت مش هتلاقى الحد ولو عاملتهم كويس هيندلو معاك ولو اهتميت هيهملوك ولو حبيت هيفشخوك ولو نزلت بدرى هتوصل متأخر برضه ولو عافرت طاقتك هتخلص لو استسلمت هتموت,EG
@lliaax والله زعلت لما قالو انها انفصلت عنه .. يكفيها زواجاتها الاتنين الي مانجحت فيهم .. ان شاء الله تتهنى مع جان وتكون فرحانه وسعيده😍⁦❤️⁩,LY
@live_for_egypt تحياالزاي مع الشكل دا 🤷‍♀️,LB
@justSDN هههه ضربة قوية لناس كدة,SD
حي هالراس مُرعب الفاسدين 🤙 https://t.co/nm8JrE0LBv,KW
@falah1390 يستاهل يالامير انت خير من يمثل 🌹🌹🌹,KW
"@M_dashti88 رحت لهم كلهم ما خليت روما ستور ما رحت له 😁

قبل سنه كان بس روما ستور واحد اللي في فيا ديل كورسو الحين صارو ثلاثه في نفس المنطقة",AE
@sds5051 @sra515 ياليت ، البدايع كله حلا واللي زاد حلاتها ان مابها اشارات,SA
#_دندراوى_الهوارى_نثق_فيه_يا_كلاب_البنا https://t.co/LY9c5LhexY,EG
"هي بنت الصرمايه مشغله منجره فوق دارنا ولا ايش 
زننننننننننننننننننننن - يشعر بـالغضب",PL
#عبدالصمد_القرشي_يسيي_للاناث الحريم كلهم جاريات لحليمه اعوذ بالله القرشي صدقني خسرت احشم بنات خلق الله,KW
شي عجيب يحللون لأنفسهم ويحرمون على هالمواطن المسكين أستلم 👇 !!!! https://t.co/X0K44pFRTh,KW
مكرم من الشباب اللي سبق جيله في مجاله واعماله ممتازة https://t.co/YQTAKNmebQ,EG
أعرف حلال الحب وأعرف حرامه 💔,KW
بدي اعتصم معكم بس للاسف مو بطريقي https://t.co/LndImzgowc,PL
"بكرا في واحد بيفقع خطاب بمناسبة ما
وبهاجم السعودية. 
حت حالك محل الخليجي. 
بتروح على بلد بهاجم رئيسك https://t.co/nRWopbsCnw",LB
@GeD092 منا بقول هيك وبعدين بنتسلى بدل ما احنا قاعدين بصير في هيك اشي انفكر في,PL
@KAMHB @hanan_kw_ مايجوز التعميم والله حرام وعيب تتهم شعب باكملها ،، يا اخي حنا عندنا شيوخ وتجار منا وفينا يسوون البلاوي ،، ما يجوز التعميم ،، ثاني شي تأكد قبل لا تظلمه ويدعي عليك ،، خاف الله,KW
"@NNALeb @MelhemRiachy الشاشات يللي اخد راحتها بالبرامج وتعرض يللي بيسوا ويللي ما بيسوى ويصور انو البلد مرتع للعهر والقرف ... ومسلسلات صارت ركائزها على ""نامت معو"" و""غرف النوم"" و""التظلط"" و ""الشخلعة وغيرو وغيرو.... هودي مين بيحاسبهم؟",LB
@aauae79 ذكرتني بواحد زارعينه وسكنا والناس مب متقبلتنه,AE
المفروض كل الكويت يدشون السجن والبقاء للاقوى الديره فضت كل اللي اعرفهم ساجنينهم بسبب تويتر .... شفيه الاي ار سي قبل شزينه,KW
"الله يحفظه ويطول بعمره 
#صباح_الأحمد_الصباح 
تسلم إيدچ على الكلام الطيب https://t.co/CnLCAjtccb",KW
"@3alaKaife بداية التغريدة قلت أول مرة تكتب شي فيه مشاعر.. طلع الجي بي اس
ما ألومك.. حبيب الملايين..",AE
@LowiSahiNazal واخيرااا رجعت الفلوكات الزينة لؤي استمر بشرفك ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,IQ
"@Urrnina_99 تشتقلك العافية خيتي 
والله خلصت وقاعد على البلكونة في الهواء الطلق عم زغرد 
تكرم عيونك الابريق عالنار يلا ما تتعوقي ناطرك 😔",SY
@falmahari الدون خله يصير الافضل في مركزه في الدوري بعدين يصير الافضل في العالم ، رجال يترزق الله عند العارض,BH
"روحو اتغدوا فى المطعم دة
وخد اصحابك معاك 🤣🤣🤣🤣🤣 https://t.co/NWLtrAS2f4",AE
@rubaalnsser2 @merry_micha @Oussamasam19 ومين قالك خودي أوامر من حد ياك حكيتي معي وقلتلك ادعمي كنوز بالطريقة اللي تناسبك فليش هالكلام الزايد!هي ادمن اختارها غيرك وقابلين بيها خليها تنشط اللي قبلوا بيها وإنتي نشطي روحك ولكن مش ضروري نبعدل الشخص الثاني؟ ميري انا شاهدة ع شغلها في التويتر كل واحد يخدم بالمكان اللي يقدر عليه,DZ
@UBxhxbx2 جزاج ألله خير على هالدعوه يابنت الأكارم,KW
طيب بالنسبه الملل ده ملوش اهل يسألو عليه,EG
"@Chogiwaaa61 مع احتماليه رجوعة الى الصلعة 
#ElyxionInAlgeria",DZ
وليد توفيق صرعت راسنا بإنزل يا جميل عالساحة .. وينك بأي ساحة ؟؟ ولا خايف ساحة المرجة تروح منّك #كلن_يعني_كلن #لبنان_يثور #لبنان_ينتفض,LB
@MBojfoul رحمه الله   وجعني والله,LY
"لاشفت البادي يغرد والا الباديه
أضغـط فولو لاشعوريـاً وأتابعهـم 

مدري محبه لهم مدري هي حميه
لبـى حروفـن تـلامسهـا أناملهـم
@SmurfsSweet11",OM
"@sultanalqahtani @MohammadKhataan 

هالمدرعمين مصيبه يا ناس يظنون ظن السوء وعاملين نفسهم مرة تمام في كل شي .... .",OM
